model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Wikidata::0,Wikidata,0,61,7,searchItems,1140,66,0.9822828367804036,-1.5515632629394531,27,0.9585257779668878,-1.501688003540039,39,0.9987300313436067,-0.04987525939941406
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Wikidata::1,Wikidata,1,61,9,getItemDetails,1141,55,0.9895424539392644,-0.6538429260253906,21,0.9728139752433413,-0.6495761871337891,34,0.9998747496043935,-0.0042667388916015625
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Time Door::0,Time Door,0,337,0,PredictionAlgorithmForMachineLearningModels,841,124,0.9924222403956997,-1.1008434295654297,20,0.9936238378286362,-0.12891197204589844,104,0.992191163966289,-0.9719314575195312
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,ipapi.com::0,ipapi.com,0,322,0,geolocationLookup,770,49,0.9809374669376684,-1.2033977508544922,19,0.9793092106517992,-0.42626953125,30,0.9819686959187189,-0.7771282196044922
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,ipapi.com::1,ipapi.com,1,322,6,geolocationLookup,782,57,0.9969241012606704,-0.1824493408203125,21,0.9916612931660242,-0.1822357177734375,36,0.9999940726492139,-0.000213623046875
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Quarantine::0,Quarantine,0,190,6,getCountryTimeline,635,48,0.9987599166731039,-0.05988121032714844,22,0.9973277232863687,-0.059146881103515625,26,0.9999717726157262,-0.0007343292236328125
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Quarantine::1,Quarantine,1,190,7,getCountryStats,621,37,0.9759122173528414,-1.2071418762207031,13,0.9320244032603044,-1.199563980102539,24,0.9996847833196322,-0.0075778961181640625
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Tradier::0,Tradier,0,209,2,getHistoricalData,732,76,0.9959832155390789,-0.35674476623535156,16,0.9812570735812187,-0.3513469696044922,60,0.9999101867278417,-0.005397796630859375
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Tradier::1,Tradier,1,209,4,getMarketCalendar,712,48,0.9965717531740665,-0.17156982421875,15,0.9893046498298644,-0.16743850708007812,33,0.9998749819668857,-0.004131317138671875
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Final Fantasy XIV::0,Final Fantasy XIV,0,339,6,getItem,668,49,0.9856242914589083,-0.8761577606201172,23,0.9766246780105259,-0.7034683227539062,26,0.9935854879709392,-0.17268943786621094
