model,model_path,task_id,target_tool,y_tokens,y_log_probability,z_tokens,z_log_probability,a_tokens,a_log_probability,chain_rule_residual
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Wikidata::0,searchItems,66,-1.5515632629394531,27,-1.501688003540039,39,-0.04987525939941406,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Wikidata::1,getItemDetails,55,-0.6538429260253906,21,-0.6495761871337891,34,-0.0042667388916015625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Time Door::0,PredictionAlgorithmForMachineLearningModels,124,-1.1008434295654297,20,-0.12891197204589844,104,-0.9719314575195312,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,ipapi.com::0,geolocationLookup,49,-1.2033977508544922,19,-0.42626953125,30,-0.7771282196044922,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,ipapi.com::1,geolocationLookup,57,-0.1824493408203125,21,-0.1822357177734375,36,-0.000213623046875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Quarantine::0,getCountryTimeline,48,-0.05988121032714844,22,-0.059146881103515625,26,-0.0007343292236328125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Quarantine::1,getCountryStats,37,-1.2071418762207031,13,-1.199563980102539,24,-0.0075778961181640625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Tradier::0,getHistoricalData,76,-0.35674476623535156,16,-0.3513469696044922,60,-0.005397796630859375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Tradier::1,getMarketCalendar,48,-0.17156982421875,15,-0.16743850708007812,33,-0.004131317138671875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Final Fantasy XIV::0,getItem,49,-0.8761577606201172,23,-0.7034683227539062,26,-0.17268943786621094,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Final Fantasy XIV::1,getAchievement,47,-1.0057716369628906,16,-0.7561302185058594,31,-0.24964141845703125,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Monster Hunter World::0,searchWeapons,67,-0.2636394500732422,36,-0.11328125,31,-0.1503582000732422,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Monster Hunter World::1,searchQuests,62,-0.4142284393310547,30,-0.15165328979492188,32,-0.2625751495361328,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,RSS feed to JSON::0,getFeedItemsByTag,66,-0.20264816284179688,21,-0.20046615600585938,45,-0.0021820068359375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,RSS feed to JSON::1,sortFeedItems,68,-0.18917274475097656,22,-0.18865585327148438,46,-0.0005168914794921875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PandaDoc::0,createTemplate,76,-1.644735336303711,16,-0.2490386962890625,60,-1.3956966400146484,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PandaDoc::1,getDetails,45,-26.983182907104492,15,-1.4304389953613281,30,-25.552743911743164,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Urban Observatory::0,getSensorLocations,33,-0.5771541595458984,14,-0.5768642425537109,19,-0.0002899169921875,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Urban Observatory::1,getHistoricalSensorData,104,-1.1046810150146484,16,-0.40212440490722656,88,-0.7025566101074219,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,GrünstromIndex::0,getHistoricalGreenPowerIndex,75,-1.2272911071777344,21,-0.9234447479248047,54,-0.3038463592529297,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,GrünstromIndex::1,getGreenPowerIndexCalculation,39,-0.46409034729003906,19,-0.4639015197753906,20,-0.0001888275146484375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Dangerous Discord Database::0,searchMaliciousAccounts,50,-1.0963401794433594,22,-1.093496322631836,28,-0.0028438568115234375,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Dangerous Discord Database::1,searchMaliciousAccounts,59,-3.2415218353271484,28,-3.239238739013672,31,-0.0022830963134765625,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,GraphHopper::0,getDetails,51,-16.360843658447266,18,-3.170869827270508,33,-13.189973831176758,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,GraphHopper::1,routeOptimization,167,-11.829944610595703,19,-1.6685523986816406,148,-10.161392211914062,0.0
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,isEven (humor)::0,checkNumber,37,-0.027444839477539062,13,-0.025135040283203125,24,-0.0023097991943359375,0.0
