model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Wikidata::0,Wikidata,0,61,7,searchItems,1140,66,0.8895547408129928,-28.775615692138672,27,0.7755188562182916,-19.53145408630371,39,0.9685026609170166,-9.244161605834961
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Wikidata::1,Wikidata,1,61,9,getItemDetails,1141,55,0.9278552528640086,-10.652746200561523,21,0.8160280320527298,-10.542482376098633,34,0.9969250068945044,-0.11026382446289062
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Time Door::0,Time Door,0,337,0,PredictionAlgorithmForMachineLearningModels,841,124,0.9500809735761868,-41.50039291381836,20,0.8845261205744465,-9.705371856689453,104,0.9626876760765216,-31.795021057128906
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,ipapi.com::0,ipapi.com,0,322,0,geolocationLookup,770,49,0.8693478403748052,-56.27920722961426,19,0.7145534047421019,-52.89011001586914,30,0.9673843162755171,-3.389097213745117
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,ipapi.com::1,ipapi.com,1,322,6,geolocationLookup,782,57,0.893352370341365,-52.931209564208984,21,0.7113118876609273,-52.914642333984375,36,0.9995426519049538,-0.016567230224609375
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Quarantine::0,Quarantine,0,190,6,getCountryTimeline,635,48,0.9326560751070094,-14.77407455444336,22,0.8534151463009039,-14.76641845703125,26,0.999706091789099,-0.007656097412109375
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Quarantine::1,Quarantine,1,190,7,getCountryStats,621,37,0.9082396527550913,-8.715105056762695,13,0.7733836305112793,-8.218181610107422,24,0.9812866648038228,-0.49692344665527344
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Tradier::0,Tradier,0,209,2,getHistoricalData,732,76,0.973799078375793,-11.202333450317383,16,0.8761051273602334,-11.193357467651367,60,0.999850798646609,-0.008975982666015625
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Tradier::1,Tradier,1,209,4,getMarketCalendar,712,48,0.9614702684583609,-13.779508590698242,15,0.8778805249221628,-13.761728286743164,33,0.9994656064293601,-0.017780303955078125
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Final Fantasy XIV::0,Final Fantasy XIV,0,339,6,getItem,668,49,0.9535563559816645,-13.200508117675781,23,0.9083038171254726,-13.029121398925781,26,0.9935874480467577,-0.17138671875
