model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Wikidata::0,Wikidata,0,61,7,searchItems,1140,66,0.9823021188829885,-1.5495567321777344,27,0.9585615341310147,-1.4999942779541016,39,0.9987379083266624,-0.04956245422363281
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Wikidata::1,Wikidata,1,61,9,getItemDetails,1141,55,0.9895229588855396,-0.6559085845947266,21,0.9727629167693002,-0.651641845703125,34,0.9998747496043935,-0.0042667388916015625
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Time Door::0,Time Door,0,337,0,PredictionAlgorithmForMachineLearningModels,841,124,0.9924785264076725,-1.088409423828125,20,0.9936156362295151,-0.12907981872558594,104,0.9922598514419336,-0.9593296051025391
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,ipapi.com::0,ipapi.com,0,322,0,geolocationLookup,770,49,0.981022194332006,-1.1984329223632812,19,0.9795270122979816,-0.42131805419921875,30,0.9819691429535548,-0.7771148681640625
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,ipapi.com::1,ipapi.com,1,322,6,geolocationLookup,782,57,0.9969325117897568,-0.18196487426757812,21,0.9916841217449732,-0.18175125122070312,36,0.9999940726492139,-0.000213623046875
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Quarantine::0,Quarantine,0,190,6,getCountryTimeline,635,48,0.9987578230599562,-0.0599822998046875,22,0.9973230687054722,-0.0592498779296875,26,0.999971845975289,-0.000732421875
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Quarantine::1,Quarantine,1,190,7,getCountryStats,621,37,0.9758462873665062,-1.2102985382080078,13,0.9318300348061782,-1.2028083801269531,24,0.9996884241700172,-0.0074901580810546875
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Tradier::0,Tradier,0,209,2,getHistoricalData,732,76,0.9959819144324252,-0.356842041015625,16,0.9812526814639568,-0.35141563415527344,60,0.9999097098906835,-0.0054264068603515625
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Tradier::1,Tradier,1,209,4,getMarketCalendar,712,48,0.9965347597996393,-0.17354393005371094,15,0.9891831040382385,-0.16946029663085938,33,0.9998764215093671,-0.0040836334228515625
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Final Fantasy XIV::0,Final Fantasy XIV,0,339,6,getItem,668,49,0.985755126087033,-0.8631401062011719,23,0.9769637273705524,-0.6889152526855469,26,0.9935321326439198,-0.174224853515625
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Final Fantasy XIV::1,Final Fantasy XIV,1,339,7,getAchievement,663,47,0.9835279856590514,-1.0053825378417969,16,0.9666284862905741,-0.7561321258544922,31,0.9922503079137495,-0.2492504119873047
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Monster Hunter World::0,Monster Hunter World,0,136,0,searchWeapons,1374,67,0.9961373761518677,-0.2628631591796875,36,0.9968878659937116,-0.11334609985351562,31,0.9952658395613393,-0.14951705932617188
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Monster Hunter World::1,Monster Hunter World,1,136,7,searchQuests,1380,62,0.9937321928239637,-0.41494178771972656,30,0.9949780980745951,-0.15248489379882812,32,0.9925641566514969,-0.26245689392089844
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,RSS feed to JSON::0,RSS feed to JSON,0,160,1,getFeedItemsByTag,740,66,0.9970604253537727,-0.20102500915527344,21,0.9908662665457952,-0.1988201141357422,45,0.9999510327974955,-0.00220489501953125
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,RSS feed to JSON::1,RSS feed to JSON,1,160,4,sortFeedItems,746,68,0.9972630353534923,-0.19132423400878906,22,0.9915634176947854,-0.19081497192382812,46,0.9999889394511347,-0.0005092620849609375
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PandaDoc::0,PandaDoc,0,365,6,createTemplate,764,76,0.9832680688092582,-1.6462879180908203,16,0.9850626662373543,-0.245941162109375,60,0.9827895094950994,-1.4003467559814453
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,PandaDoc::1,PandaDoc,1,365,9,getDetails,763,45,0.8821461681159437,-27.005046844482422,15,0.9210627873738607,-1.4425716400146484,30,0.8626878584869853,-25.562475204467773
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Urban Observatory::0,Urban Observatory,0,151,2,getSensorLocations,925,33,0.9845689896381263,-0.5780086517333984,14,0.9636473229953221,-0.5777225494384766,19,0.999984954532824,-0.000286102294921875
original,/projects/standard/mhong/shared/jiajunr/ToolAlpaca-7B,Urban Observatory::1,Urban Observatory,1,151,6,getHistoricalSensorData,935,104,0.9901850567414211,-1.0995845794677734,16,0.9764163568615913,-0.40204620361328125,88,0.992688456719572,-0.6975383758544922
