model,model_path,task_id,api,instruction_id,source_api_index,source_instance_index,target_tool,prompt_tokens,y_tokens,y_mean_token_probability,y_log_probability,z_tokens,z_mean_token_probability,z_log_probability,a_tokens,a_mean_token_probability,a_log_probability
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Wikidata::0,Wikidata,0,61,7,searchItems,1140,66,0.8895652489044358,-28.79734230041504,27,0.775487379602122,-19.55500602722168,39,0.9685422353444991,-9.24233627319336
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Wikidata::1,Wikidata,1,61,9,getItemDetails,1141,55,0.9279882103882052,-10.658208847045898,21,0.8163733079674698,-10.548013687133789,34,0.9969268265892477,-0.11019515991210938
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Time Door::0,Time Door,0,337,0,PredictionAlgorithmForMachineLearningModels,841,124,0.9500663886775446,-41.49635314941406,20,0.8845737893891056,-9.704547882080078,104,0.9626611193099367,-31.791805267333984
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,ipapi.com::0,ipapi.com,0,322,0,geolocationLookup,770,49,0.8693582959670653,-56.28055763244629,19,0.7145874570192091,-52.88986587524414,30,0.9673798273007075,-3.3906917572021484
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,ipapi.com::1,ipapi.com,1,322,6,geolocationLookup,782,57,0.8932024861225535,-52.91596794128418,21,0.7109033248556788,-52.899436950683594,36,0.9995436635282304,-0.016530990600585938
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Quarantine::0,Quarantine,0,190,6,getCountryTimeline,635,48,0.9326793567552158,-14.757158279418945,22,0.8534663706939848,-14.749492645263672,26,0.9997057295762576,-0.0076656341552734375
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Quarantine::1,Quarantine,1,190,7,getCountryStats,621,37,0.9081989089027047,-8.692819595336914,13,0.7732828251587657,-8.195657730102539,24,0.981278454264005,-0.497161865234375
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Tradier::0,Tradier,0,209,2,getHistoricalData,732,76,0.97380137331105,-11.217594146728516,16,0.876115193837677,-11.20863151550293,60,0.9998510211706161,-0.008962631225585938
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Tradier::1,Tradier,1,209,4,getMarketCalendar,712,48,0.961470377977444,-13.795122146606445,15,0.8778808714095855,-13.777341842651367,33,0.9994656082355615,-0.017780303955078125
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Final Fantasy XIV::0,Final Fantasy XIV,0,339,6,getItem,668,49,0.9535970503558779,-13.167900085449219,23,0.9083291391921786,-12.997997283935547,26,0.993641741000689,-0.16990280151367188
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Final Fantasy XIV::1,Final Fantasy XIV,1,339,7,getAchievement,663,47,0.9341156304156918,-13.370079040527344,16,0.8585893397093969,-12.33847427368164,31,0.973096941747973,-1.0316047668457031
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Monster Hunter World::0,Monster Hunter World,0,136,0,searchWeapons,1374,67,0.941637529290944,-18.418184280395508,36,0.925869796699241,-16.67232322692871,31,0.9599484445587281,-1.7458610534667969
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Monster Hunter World::1,Monster Hunter World,1,136,7,searchQuests,1380,62,0.8865139187526478,-41.72762680053711,30,0.8033265771846307,-39.90496826171875,32,0.9645020514726639,-1.8226585388183594
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,RSS feed to JSON::0,RSS feed to JSON,0,160,1,getFeedItemsByTag,740,66,0.9055784776429789,-32.1824951171875,21,0.7056404857642602,-32.13137626647949,45,0.9988828738530477,-0.05111885070800781
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,RSS feed to JSON::1,RSS feed to JSON,1,160,4,sortFeedItems,746,68,0.9323977602775562,-42.37876510620117,22,0.7939504691208195,-42.31291961669922,46,0.9986116821351259,-0.06584548950195312
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PandaDoc::0,PandaDoc,0,365,6,createTemplate,764,76,0.915441359564858,-16.837120056152344,16,0.8155346284620464,-6.608440399169922,60,0.9420831545256078,-10.228679656982422
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,PandaDoc::1,PandaDoc,1,365,9,getDetails,763,45,0.840989359910519,-29.566436767578125,15,0.7559165005882581,-6.615442276000977,30,0.8835257895716495,-22.95099449157715
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Urban Observatory::0,Urban Observatory,0,151,2,getSensorLocations,925,33,0.8411301532044794,-23.55923843383789,14,0.636513398059833,-23.39259147644043,19,0.9919003938373766,-0.16664695739746094
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,Urban Observatory::1,Urban Observatory,1,151,6,getHistoricalSensorData,935,104,0.9291847086078852,-39.06269836425781,16,0.685044797759474,-19.708005905151367,88,0.9735737833075963,-19.354692459106445
unlearned,/projects/standard/mhong/shared/jiajunr/npo_gdr_ckpt/npo_gdr_ep5,GrünstromIndex::0,GrünstromIndex,0,214,1,getHistoricalGreenPowerIndex,815,75,0.9363621390176317,-21.021976470947266,21,0.826675669400997,-15.852579116821289,54,0.9790179883129895,-5.169397354125977
